,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
234,SHPH11,Shoppings,"R$ 803,00",170.0,"R$ 3,90","0,49%","1,38%","2,37%","4,60%","0,46%","0,40%","0,38%","3,65%","-3,42%","-2,94%","-0,64%","R$ 540.921.773,38","R$ 888,29","0,90","0,35%","7,72%","8,09%","10,80%","9,80%",N/A,1
235,ABCP11,Shoppings,"R$ 72,34",1286.0,"R$ 0,58","0,83%","2,43%","4,32%","6,89%","0,81%","0,72%","0,57%","6,89%","14,10%","15,05%","-3,81%","R$ 1.122.717.873,90","R$ 92,00","0,79",N/A,N/A,N/A,N/A,"8,20%",N/A,1
236,NEWL11,Híbrido,"R$ 102,47",1352.0,"R$ 1,30","1,31%","2,93%","5,13%","10,44%","0,98%","0,85%","0,87%","10,44%","7,32%","8,73%","3,62%","R$ 235.152.808,21","R$ 115,66","0,89",N/A,N/A,N/A,N/A,"0,00%",N/A,2
237,SDIL11,Logística,"R$ 90,00",12304.0,"R$ 0,76","0,83%","2,62%","4,78%","8,38%","0,87%","0,80%","0,70%","8,38%","6,69%","7,58%","-4,95%","R$ 622.149.687,44","R$ 97,29","0,93","0,78%","-0,89%","-0,12%","-1,23%","2,60%",N/A,5
238,RBED11,Outros,"R$ 123,71",1816.0,"R$ 1,06","0,83%","2,51%","4,75%","8,95%","0,84%","0,79%","0,75%","8,95%","4,72%","5,58%","-8,93%","R$ 285.897.124,09","R$ 141,42","0,87",N/A,N/A,N/A,N/A,"0,00%",N/A,5
239,PLOG11,Logística,"R$ 76,99",927.0,"R$ 0,76","0,97%","2,87%","5,42%","0,00%","0,96%","0,90%","0,00%","7,59%","9,79%","10,85%","-12,65%","R$ 74.524.074,15","R$ 99,37","0,77",N/A,N/A,N/A,N/A,"0,00%",N/A,1
240,RBVA11,Outros,"R$ 98,60",11388.0,"R$ 0,91","0,89%","2,80%","5,11%","10,13%","0,93%","0,85%","0,84%","10,13%","4,60%","5,53%","-0,30%","R$ 1.214.799.658,16","R$ 104,83","0,94",N/A,N/A,N/A,N/A,"0,70%",N/A,72
241,NVHO11,Hospital,"R$ 12,00",22.0,"R$ 0,08","0,65%","1,97%","3,69%","6,37%","0,66%","0,61%","0,53%","6,37%","3,03%","3,70%","-40,47%","R$ 527.758.066,30","R$ 12,72","0,94",N/A,N/A,N/A,N/A,N/A,N/A,1
242,VIUR11,Títulos e Val. Mob.,"R$ 78,90",13679.0,"R$ 0,71","0,91%","2,65%","4,91%","0,00%","0,88%","0,82%","0,00%","5,62%","7,59%","8,57%","-17,51%","R$ 260.808.926,19","R$ 96,79","0,82",N/A,N/A,N/A,N/A,"0,00%",N/A,6
243,VISC11,Shoppings,"R$ 103,70",23585.0,"R$ 0,81","0,78%","2,04%","3,59%","5,69%","0,68%","0,60%","0,47%","5,69%","8,36%","9,20%","-6,23%","R$ 2.051.142.632,74","R$ 115,91","0,89",N/A,N/A,N/A,N/A,"7,70%",N/A,15
244,AIEC11,Lajes Corporativas,"R$ 78,52",46314.0,"R$ 0,61","0,83%","2,54%","4,75%","8,57%","0,85%","0,79%","0,71%","8,57%","6,82%","7,70%","-14,38%","R$ 486.481.248,48","R$ 100,83","0,78","0,61%","0,17%","0,77%","5,50%","0,00%",N/A,2
245,PATC11,Lajes Corporativas,"R$ 65,40",2669.0,"R$ 0,30","0,46%","1,41%","2,83%","5,37%","0,47%","0,47%","0,45%","5,37%","3,21%","3,69%","-18,83%","R$ 300.834.475,20","R$ 86,51","0,76",N/A,N/A,N/A,N/A,"21,90%","22,70%",6
246,VIFI11,Títulos e Val. Mob.,"R$ 76,40",2164.0,"R$ 0,66","0,86%","2,56%","4,89%","8,98%","0,85%","0,82%","0,75%","8,98%","3,09%","3,98%","-10,75%","R$ 261.421.261,58","R$ 92,96","0,82",N/A,N/A,N/A,N/A,N/A,N/A,0
247,BCIA11,Títulos e Val. Mob.,"R$ 89,36",2500.0,"R$ 0,64","0,74%","2,32%","4,44%","8,18%","0,77%","0,74%","0,68%","8,18%","7,19%","7,99%","-17,67%","R$ 394.781.222,12","R$ 106,15","0,84",N/A,N/A,N/A,N/A,N/A,N/A,0
248,FPAB11,Lajes Corporativas,"R$ 211,99",19.0,"R$ 1,45","0,69%","1,92%","3,45%","6,18%","0,64%","0,57%","0,52%","6,18%","2,02%","2,73%","-24,25%","R$ 306.999.081,09","R$ 409,33","0,52",N/A,N/A,N/A,N/A,"38,34%",N/A,1
249,XPSF11,Outros,"R$ 79,85",7187.0,"R$ 0,70","0,85%","2,72%","5,14%","9,94%","0,91%","0,86%","0,83%","9,94%","16,21%","17,20%","-5,32%","R$ 388.991.107,07","R$ 89,83","0,89",N/A,N/A,N/A,N/A,N/A,N/A,0
250,EURO11,Logística,"R$ 201,02",351.0,"R$ 1,72","0,83%","2,39%","4,57%","8,43%","0,80%","0,76%","0,70%","8,43%","6,95%","7,83%","3,77%","R$ 119.833.855,36","R$ 312,12","0,64",N/A,N/A,N/A,N/A,"0,00%",N/A,6
251,BICR11,Títulos e Val. Mob.,"R$ 98,00",4.0,"R$ 0,56","0,59%","1,82%","3,17%","4,94%","0,61%","0,53%","0,41%","4,94%","0,00%","0,59%","-0,49%","R$ 49.891.050,21","R$ 99,78","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
252,STRX11,Híbrido,N/A,N/A,"R$ 0,72","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 281.315.033,48","R$ 174,34",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
253,KISU11,Títulos e Val. Mob.,"R$ 8,35",90446.0,"R$ 0,07","0,87%","2,46%","4,49%","8,12%","0,82%","0,75%","0,68%","8,12%","7,58%","8,51%","-19,25%","R$ 412.682.158,61","R$ 9,34","0,89",N/A,N/A,N/A,N/A,N/A,N/A,0
254,LGCP11,Logística,"R$ 82,00",2036.0,"R$ 0,59","0,67%","2,07%","3,92%","7,29%","0,69%","0,65%","0,61%","7,29%","8,68%","9,41%","-3,96%","R$ 278.904.751,80","R$ 102,06","0,80",N/A,N/A,N/A,N/A,"1,60%",N/A,5
255,BBFO11,Títulos e Val. Mob.,"R$ 77,00",1473.0,"R$ 0,68","0,87%","2,68%","4,93%","0,00%","0,89%","0,82%","0,00%","8,14%","10,44%","11,40%","-9,96%","R$ 355.097.150,19","R$ 88,69","0,87",N/A,N/A,N/A,N/A,N/A,N/A,0
256,TEPP11,Lajes Corporativas,"R$ 73,52",1442.0,"R$ 0,51","0,68%","2,09%","3,82%","7,05%","0,70%","0,64%","0,59%","7,05%","13,99%","14,76%","-10,77%","R$ 384.342.485,15","R$ 91,03","0,81",N/A,N/A,N/A,N/A,"10,24%","10,28%",5
257,RFOF11,Títulos e Val. Mob.,"R$ 71,28",4326.0,"R$ 0,64","0,85%","2,59%","4,96%","9,38%","0,86%","0,83%","0,78%","9,38%","9,27%","10,21%","-8,57%","R$ 85.709.079,16","R$ 79,50","0,90","0,79%","-5,09%","-4,34%","-9,88%",N/A,N/A,0
258,RRCI11,Títulos e Val. Mob.,"R$ 85,48",1022.0,"R$ 1,02","1,21%","3,50%","6,40%","0,00%","1,17%","1,07%","0,00%","10,28%","7,32%","8,62%","5,38%","R$ 46.898.463,85","R$ 97,35","0,88","0,95%","-0,08%","0,86%","8,88%",N/A,N/A,0
259,GALG11,Híbrido,"R$ 100,48",2130.0,"R$ 0,84","0,82%","2,48%","4,86%","9,38%","0,83%","0,81%","0,78%","9,38%","2,94%","3,78%","1,80%","R$ 558.924.528,85","R$ 99,58","1,01",N/A,N/A,N/A,N/A,"0,00%","0,00%",6
260,RBGS11,Shoppings,"R$ 28,45",5157.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78","0,31","0,18%","0,00%","0,18%","1,17%","13,00%",N/A,1
261,BTWR11,Lajes Corporativas,"R$ 106,40",13539.0,"R$ 0,49","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,14%","R$ 87.750.674,52","R$ 108,43","0,98",N/A,N/A,N/A,N/A,"12,00%",N/A,1
262,VLOL11,Lajes Corporativas,"R$ 93,00",1498.0,"R$ 0,53","0,56%","1,56%","2,98%","5,49%","0,52%","0,50%","0,46%","5,49%","-3,14%","-2,60%","-2,58%","R$ 184.615.196,91","R$ 103,44","0,90",N/A,N/A,N/A,N/A,"0,00%",N/A,1
263,BNFS11,Outros,"R$ 126,81",255.0,"R$ 1,27","1,00%","3,16%","5,78%","10,84%","1,05%","0,96%","0,90%","10,84%","4,85%","5,90%","11,54%","R$ 68.816.692,76","R$ 98,31","1,29",N/A,N/A,N/A,N/A,"0,00%",N/A,18
264,RBHG11,Títulos e Val. Mob.,"R$ 87,99",9753.0,"R$ 1,44","1,68%","4,31%","6,97%","11,89%","1,44%","1,16%","0,99%","11,89%","3,06%","4,79%","16,49%","R$ 165.363.721,21","R$ 95,72","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
265,CXCE11B,Outros,"R$ 44,12",654.0,"R$ 0,37","0,82%","2,31%","6,60%","12,74%","0,77%","1,10%","1,06%","12,74%","15,28%","16,22%","-49,63%","R$ 110.977.715,16","R$ 64,79","0,68",N/A,N/A,N/A,N/A,"0,00%",N/A,1
266,MFAI11,Híbrido,"R$ 74,98",682.0,"R$ 1,06","1,44%","3,14%","5,41%","10,04%","1,05%","0,90%","0,84%","10,04%","13,08%","14,70%","-30,62%","R$ 24.864.912,55","R$ 82,02","0,91",N/A,N/A,N/A,N/A,N/A,N/A,0
267,RBVO11,Outros,"R$ 12,53",91.0,"R$ 0,05","0,42%","0,91%","2,03%","3,46%","0,30%","0,34%","0,29%","2,77%","-16,87%","-16,53%","-14,64%","R$ 11.981.470,71","R$ 23,23","0,54",N/A,N/A,N/A,N/A,N/A,N/A,0
268,CXTL11,Logística,"R$ 311,98",3.0,"R$ 0,75","0,25%","0,66%","1,28%","0,00%","0,22%","0,21%","0,00%","4,38%","-7,66%","-7,42%","3,06%","R$ 37.044.254,22","R$ 691,16","0,45",N/A,N/A,N/A,N/A,"61,00%",N/A,3
269,BBRC11,Outros,"R$ 99,94",2571.0,"R$ 0,92","0,84%","2,76%","5,08%","9,69%","0,92%","0,85%","0,81%","9,69%","22,32%","23,34%","-4,55%","R$ 170.840.969,91","R$ 107,45","0,93",N/A,N/A,N/A,N/A,"5,40%","2,10%",20
